game_ID,game_day,cup_ID,cup_name,max_period,stage,hometeam_ID,hometeam_name,awayteam_ID,awayteam_name,studiam_ID,studiam_name,start_time,end_time,spectator,home_sore,away_score,main_unpire_ID,main_umpire_name,sub_umpire_ID1,sub_umpire_name1,sub_umpire_ID2,sub_umpire_name2,weather,temperture,humidity,No.
1,20160922,2,2016-17 B1リーグ,4,1,706,アルバルク東京,701,琉球ゴールデンキングス,162,国立代々木競技場第一体育館,190100,205500,9132,80,75,2,宇田川　貴生,5,片寄　達,26,平原　勇次,雨,20.1,99,14
2,20160923,2,2016-17 B1リーグ,4,1,706,アルバルク東京,701,琉球ゴールデンキングス,162,国立代々木競技場第一体育館,190100,204700,9461,74,53,2,宇田川　貴生,5,片寄　達,26,平原　勇次,雨,22,96,14
3,20160924,2,2016-17 B1リーグ,4,1,703,栃木ブレックス,693,秋田ノーザンハピネッツ,7,ブレックスアリーナ宇都宮,140200,160000,3843,68,83,20,緒方　崇,13,佐藤　誠,224,伊藤　亮介,雨,24.4,,14
4,20160924,2,2016-17 B1リーグ,4,1,704,千葉ジェッツ,692,仙台89ERS,3,船橋アリーナ,160500,175600,4932,96,77,363,清水　幹治,225,谷古宇　孝,366,大倉　守正,雨,23,94,14
5,20160924,2,2016-17 B1リーグ,4,1,694,横浜ビー・コルセアーズ,726,サンロッカーズ渋谷,181,横浜文化体育館,180400,200800,3297,63,81,4,北沢　岳夫,19,石田　祐二,221,阿部　聖,雨,22,93,14
6,20160924,2,2016-17 B1リーグ,4,1,696,富山グラウジーズ,695,新潟アルビレックスBB,224,富山市総合体育館,180500,200400,4677,85,74,12,安西　郷史,32,加藤　昌樹,393,青木　俊博,晴れ,24.3,64,14
7,20160924,2,2016-17 B1リーグ,4,1,697,三遠ネオフェニックス,727,川崎ブレイブサンダース,169,豊橋市総合体育館,180400,195800,3315,72,70,504,高城　邦弘,22,倉口　勉,230,堀内　純,雨,25.5,60,14
8,20160924,2,2016-17 B1リーグ,4,1,729,名古屋ダイヤモンドドルフィンズ,699,京都ハンナリーズ,12,愛知県体育館,140500,155400,5084,81,74,25,東　祐二,27,前田　喜庸,227,飯尾　勝紀,雨,25.8,,14
9,20160924,2,2016-17 B1リーグ,4,1,698,滋賀レイクスターズ,728,シーホース三河,220,ウカルちゃんアリーナ,131700,150600,2259,78,83,3,松本　隆志,29,玉木　彰治,603,田島　寛治,曇り,24.1,61,14
10,20160924,2,2016-17 B1リーグ,4,1,700,大阪エヴェッサ,702,レバンガ北海道,230,府民共済SUPERアリーナ,171100,190100,3328,64,53,37,相原　伸康,35,有澤　重行,290,守谷　圭介,曇り,24.7,56,14
11,20160925,2,2016-17 B1リーグ,4,1,703,栃木ブレックス,693,秋田ノーザンハピネッツ,7,ブレックスアリーナ宇都宮,140100,155700,3870,61,59,20,緒方　崇,13,佐藤　誠,224,伊藤　亮介,晴れ,26.7,55,14
12,20160925,2,2016-17 B1リーグ,4,1,704,千葉ジェッツ,692,仙台89ERS,3,船橋アリーナ,150400,170500,3297,60,68,363,清水　幹治,225,谷古宇　孝,366,大倉　守正,晴れ,26,81,14
