,選手ID,スターティングフラグ,プレイタイム,得点,3P成功,3P試投,2P成功,2P試投,ダンク,フリースロー成功,フリースロー試投,ファウル,被ファウル,オフェンスリバウンド,ディフェンスリバウンド,トータルリバウンド,ターンオーバ,アシスト,スティール,ブロックショット,被ブロックショット,ファストブレイクポイント,ポイントフロムターンオーバー,2Pインサイドポイント,セカンドチャンスポイント,6man,period
0,8446,120,71985,355,25,87,116,240,0,48,65,78,84,35,65,100,49,123,40,3,9,12,30,86,51,0,186
1,8447,117,69288,432,60,187,102,217,0,48,71,74,92,51,75,126,93,137,83,12,14,53,65,160,34,0,194
2,8448,147,75513,378,43,126,110,208,1,29,35,99,41,70,113,183,43,40,42,6,14,50,75,184,48,0,195
3,8449,47,35008,178,46,127,18,43,0,4,8,49,10,6,22,28,17,11,10,1,5,7,8,10,8,0,121
4,8450,177,105495,549,63,228,121,282,0,118,168,144,172,92,189,281,138,179,124,15,37,58,104,216,49,0,239
5,8451,59,30520,110,11,30,32,70,4,13,21,40,33,33,38,71,25,23,10,1,6,4,7,64,15,0,144
6,8452,164,106050,820,50,139,269,481,57,132,225,144,260,179,327,506,112,154,77,56,30,64,91,456,138,0,237
7,8454,95,56338,176,23,95,34,94,0,39,57,114,70,7,60,67,54,65,25,3,11,10,28,56,2,0,173
8,8455,35,20783,56,1,15,26,57,0,1,2,32,9,6,22,28,11,19,10,1,1,2,4,16,2,0,77
9,8456,71,43121,247,19,60,69,189,0,52,67,48,68,22,60,82,64,91,19,2,13,10,19,80,21,0,114
10,8457,104,64058,318,32,85,81,149,0,60,76,102,90,30,69,99,65,104,53,1,11,82,53,146,16,0,218
11,8458,110,55285,273,7,34,103,262,0,46,69,150,114,45,94,139,71,40,20,13,17,12,28,96,26,0,130
12,8459,162,92530,344,74,204,36,97,0,50,59,128,75,19,101,120,44,26,36,7,15,8,26,40,10,0,237
13,8460,110,64988,244,11,56,84,202,0,43,57,92,74,23,63,86,57,69,38,2,11,22,35,74,19,0,230
14,8461,50,35156,138,3,22,53,127,0,23,32,67,34,17,50,67,23,36,15,1,7,26,24,48,4,0,139
15,8462,94,50213,123,14,52,35,107,0,11,14,90,29,20,60,80,36,81,26,2,10,4,20,54,0,0,186
16,8463,139,98830,555,113,278,89,176,0,38,54,70,48,19,67,86,39,54,27,1,14,22,80,64,34,0,243
17,8464,98,49413,157,21,70,40,82,0,14,27,65,41,59,85,144,27,19,23,6,5,18,17,76,15,0,149
18,8465,7,14168,33,0,0,15,48,0,3,3,48,15,20,24,44,9,7,11,1,6,0,0,22,6,0,72
19,8466,44,28503,34,0,12,16,52,0,2,4,45,17,11,37,48,27,31,20,0,7,0,0,22,6,0,149
20,8467,215,128336,682,89,250,172,414,0,71,100,122,155,61,222,283,113,184,63,1,33,66,86,242,53,0,261
21,8468,225,121639,717,132,346,115,263,0,91,109,161,125,70,181,251,110,74,56,7,36,37,50,138,82,0,259
22,8469,59,39526,105,20,99,14,35,0,17,23,73,25,26,44,70,23,20,13,1,8,10,6,22,5,0,163
23,8470,120,65224,319,58,192,71,177,0,3,10,126,29,39,110,149,43,40,28,32,14,6,33,54,30,0,133
24,8471,65,42821,92,5,22,37,110,0,3,5,69,14,33,39,72,18,25,19,1,3,10,10,28,0,1,156
25,8472,0,357,4,0,0,2,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,5
26,8473,3,4485,10,2,6,1,2,0,2,2,15,4,0,4,4,3,3,1,1,1,0,0,0,0,0,37
27,8474,104,68285,257,15,61,81,189,0,50,77,88,89,48,84,132,57,52,61,3,23,38,37,144,26,0,217
28,8475,206,116855,503,91,269,103,283,0,24,32,106,43,22,123,145,62,54,34,6,27,24,47,92,36,0,237
29,8476,114,62755,187,47,127,12,41,0,22,25,100,39,15,96,111,14,22,15,6,5,0,19,10,5,0,164
30,8477,126,73947,164,25,81,36,95,0,17,22,151,84,23,97,120,46,125,48,4,5,7,18,20,14,0,213
31,8478,90,56237,258,25,92,85,182,0,13,26,92,46,12,64,76,63,54,16,4,13,30,27,110,19,0,198
32,8479,98,67648,200,8,36,74,175,0,28,39,149,65,73,93,166,47,44,35,36,18,16,21,124,34,0,191
33,8480,95,57097,286,63,233,45,116,0,7,10,72,20,11,50,61,30,13,18,9,9,10,38,22,13,0,205
34,8481,152,91452,584,36,158,197,437,0,82,96,108,111,51,102,153,82,91,43,13,22,79,65,240,55,0,238
35,8482,134,85370,498,83,215,85,201,0,79,99,113,135,47,131,178,66,161,53,14,6,40,52,100,38,1,255
36,8483,21,10913,56,9,39,9,19,0,11,12,19,9,0,16,16,9,3,4,0,2,2,3,6,3,0,50
37,8484,145,90239,551,47,134,170,298,0,70,101,112,128,48,81,129,90,207,62,5,13,48,47,272,32,0,243
38,8485,136,69850,246,42,130,43,87,0,34,46,107,76,37,81,118,52,79,23,3,5,18,22,40,14,0,220
39,8486,68,33070,175,0,8,72,129,0,31,53,63,47,27,64,91,29,27,12,8,9,24,18,104,18,0,148
40,8487,120,79691,594,126,342,71,181,0,74,96,61,114,14,57,71,90,156,47,1,15,38,43,98,36,0,196
41,8488,30,17389,79,16,58,14,34,0,3,3,26,14,5,15,20,23,32,6,2,3,4,6,22,8,0,69
42,8489,24,15571,42,2,2,14,43,0,8,13,42,9,13,21,34,2,2,0,3,7,0,0,26,4,0,93
43,8490,166,120127,1757,72,173,586,1046,2,369,451,113,352,163,661,824,145,151,55,53,54,74,140,954,242,0,258
44,8491,144,53987,338,0,1,143,271,2,52,69,104,86,85,190,275,63,76,53,16,28,32,34,222,56,0,162
45,8492,144,89407,360,66,151,59,132,0,44,50,82,60,23,78,101,66,124,39,7,9,18,43,76,9,0,221
46,8493,72,56531,277,6,15,98,182,0,63,80,83,63,44,87,131,27,45,11,5,13,10,20,144,24,1,206
47,8494,111,62333,363,48,152,85,184,0,49,74,92,77,34,45,79,44,35,24,9,17,35,42,104,50,0,240
48,8495,0,4501,27,3,11,7,14,0,4,6,14,3,0,2,2,3,6,1,0,3,0,0,10,0,0,34
49,8496,3,8808,52,7,19,12,41,0,7,13,19,7,11,11,22,4,1,1,5,3,2,2,12,11,0,64
50,8497,163,95506,498,75,196,118,283,0,37,44,162,69,28,83,111,56,116,43,15,18,40,68,116,35,0,248
51,8498,93,54917,275,41,127,66,140,8,20,32,76,28,25,66,91,27,28,19,17,12,21,21,92,29,1,234
52,8499,95,76191,472,81,268,90,217,0,49,63,93,82,41,70,111,71,162,36,1,12,13,47,96,46,1,257
53,8500,133,74850,604,76,198,129,297,0,118,134,89,106,18,74,92,37,43,30,4,13,27,68,116,33,0,197
54,8501,149,88249,459,32,135,150,334,0,63,77,155,92,38,108,146,43,80,54,16,16,58,58,196,28,0,214
55,8502,187,104290,749,18,75,279,519,27,137,181,146,153,186,425,611,73,97,70,40,21,22,42,414,146,0,236
56,8503,185,114046,610,9,31,206,480,1,171,224,144,266,95,172,267,129,267,77,11,60,104,102,380,46,0,238
57,8504,101,66002,303,54,177,60,131,0,21,31,109,38,27,49,76,45,29,28,12,6,37,38,72,15,0,182
58,8505,22,10970,24,3,14,3,13,0,9,9,13,10,6,6,12,18,19,13,0,0,2,4,4,0,0,36
59,8506,25,21990,80,9,24,18,54,0,17,26,50,27,13,47,60,20,22,5,0,7,6,7,30,6,0,101
60,8507,171,98511,529,63,163,112,238,0,116,138,138,168,36,139,175,112,196,67,1,20,44,50,154,31,0,246
61,8508,113,70226,542,56,127,142,329,0,90,108,76,91,13,60,73,70,71,22,6,24,25,77,84,40,0,234
62,8509,192,90079,448,26,91,134,301,0,102,124,198,196,47,164,211,138,202,70,9,26,69,60,186,20,0,244
63,8510,118,74923,502,81,259,97,218,2,65,76,77,114,17,83,100,58,61,32,8,9,32,50,122,32,0,192
64,8511,83,50830,289,1,3,117,237,0,52,88,150,104,55,117,172,39,11,10,11,9,2,12,162,32,0,183
65,8512,123,74039,476,52,161,141,278,4,38,53,104,58,50,99,149,80,60,28,23,26,34,47,220,55,0,191
66,8513,114,72835,202,10,39,71,150,0,30,39,131,55,34,123,157,65,185,71,3,5,4,12,80,16,0,241
67,8514,87,46138,238,29,91,60,129,0,31,45,72,56,14,63,77,46,93,20,6,13,8,13,86,15,0,144
68,8515,23,19451,111,20,47,21,40,0,9,12,30,14,10,33,43,7,7,3,4,3,0,7,16,15,0,88
69,8516,141,87048,414,52,186,101,251,10,56,72,84,100,67,174,241,66,100,55,10,21,33,48,154,41,0,224
70,8517,161,106265,635,105,298,134,318,0,52,68,138,92,21,137,158,104,176,80,14,26,49,100,184,31,0,253
