チームID,選手ID,背番号,選手名,ポジション,出身地,出身校,国籍,生年月日,身長,体重,在籍フラグ,No.
726,8446,7,伊藤 駿,PG,宮城県,青山学院大学,日本,19900214,174,73,1,14
726,8447,9,ベンドラメ 礼生,PG,福岡県,東海大学,日本,19931114,183,79,1,14
726,8448,10,アキ・チェンバース,SF,東京都,カリフォルニア大学マーセド校,日本,19900919,190,85,1,14
726,8449,14,大塚 裕土,PG/SG,北海道,東海大学,日本,19870823,188,82,1,14
726,8450,24,広瀬 健太,SF,島根県,青山学院,日本,19850711,193,90,1,14
726,8451,39,藤高 宗一郎,SF,大阪府,関西大学,日本,19911011,189,91,1,14
726,8452,33,アイラ・ブラウン,SF/PF,アメリカ合衆国,ゴンザガ大学,日本,19820803,193,105,1,14
694,8454,13,山田 謙治,PG,神奈川県,法政大学,日本,19830728,180,84,1,14
694,8455,3,蒲谷 正之,SG,神奈川県,日本大学,日本,19820702,184,83,1,14
699,8456,1,小島 元基,PG/SG,茨城県,東海大学,日本,19940219,180,84,1,14
699,8457,8,村上 直,PG,大阪府,同志社大学,日本,19861204,179,72,1,14
699,8458,15,佐藤 託矢,PF,大阪府,青山学院大学,日本,19830825,198,102,1,14
699,8459,33,内海 慎吾,SG,北海道,東海大学,日本,19840428,188,88,1,14
699,8460,34,籔内 幸樹,PG/SG,大阪府,大阪体育大学,日本,19840822,184,80,1,14
698,8461,23,横江 豊,PG,滋賀県,日本体育大学,日本,19890419,176,68,1,14
698,8462,0,小林 遥太,PG,新潟県,青山学院大学,日本,19910912,178,77,1,14
698,8463,34,狩野 祐介,SG,福岡県,東海大学,日本,19900418,184,80,1,14
698,8464,8,田中 大地,SF,東京都,東京成徳大,日本,19890205,185,91,1,14
698,8465,22,樋口 大倫,PF,愛知県,専修大学,日本,19900813,191,104,1,14
693,8466,2,水町 亮介,PG,佐賀県,学習院大学,日本,19810910,186,83,1,14
693,8467,3,安藤 誓哉,PG,東京都,明治大学,日本,19920715,181,80,1,14
693,8468,5,田口 成浩,SG,秋田県,富士大学,日本,19900325,184,84,1,14
693,8469,11,菅澤 紀行,SF/PF,茨城県,鹿屋体育大学,日本,19870203,192,87,1,14
693,8470,55,谷口 大智,PF/C,奈良県,サウスイースタン・オクラホマ州立大学,日本,19900415,201,105,1,14
695,8471,5,佐藤 優樹,SG,新潟県,アップルスポーツカレッジ,日本,19870503,182,81,1,14
695,8472,8,八幡 圭祐,SG,神奈川県,アラヌイ高校,日本,19910225,181,76,1,14
695,8473,16,本間 遼太郎,PG,新潟県,日本体育大学,日本,19921013,173,75,1,14
